 Code Snippet                                                                                                                                                  , API Name          , Function/Method Name      , Description/Functionality             , Usage Example                                                                                                    , Language/Framework      
 const AWS = require('aws-sdk'); const s3 = new AWS.S3(); async function getBucketNotification(bucketName) { const params = { Bucket: bucketName }; const data = await s3.getBucketNotificationConfiguration(params).promise(); return data; } , Amazon S3  , getBucketNotification , Get the notification configuration of a bucket , getBucketNotification('my-bucket');                                                         , Node.js            
" const octokit = require('@octokit/rest')(); async function getRepository(owner, repo) { const { data } = await octokit.repos.get({ owner, repo }); return data; } ", GitHub API , getRepository         , Retrieve repository information             ," getRepository('octocat', 'Hello-World');                                                              ", Node.js            
 const octokit = require('@octokit/rest')(); async function listRepositoriesForUser(username) { const { data } = await octokit.repos.listForUser({ username }); return data; } , GitHub API , listRepositories      , List repositories for a user               , listRepositoriesForUser('octocat');                                                                  , Node.js            
" const octokit = require('@octokit/rest')(); async function listBranches(owner, repo) { const { data } = await octokit.repos.listBranches({ owner, repo }); return data; }         ", GitHub API , listBranches          , List branches in a repository              ," listBranches('octocat', 'Hello-World');                                                              ", Node.js            
" const octokit = require('@octokit/rest')(); async function createIssue(owner, repo, title, body) { const { data } = await octokit.issues.create({ owner, repo, title, body }); return data; } ", GitHub API , createIssue           , Create a new issue in a repository        ," createIssue('octocat', 'Hello-World', 'New Issue', 'This is a new issue.');                          ", Node.js            
" const octokit = require('@octokit/rest')(); async function listIssues(owner, repo) { const { data } = await octokit.issues.listForRepo({ owner, repo }); return data; }         ", GitHub API , listIssues            , List issues in a repository               ," listIssues('octocat', 'Hello-World');                                                                ", Node.js            
" const octokit = require('@octokit/rest')(); async function createPullRequest(owner, repo, title, head, base, body) { const { data } = await octokit.pulls.create({ owner, repo, title, head, base, body }); return data; } ", GitHub API , createPullRequest     , Create a pull request in a repository     ," createPullRequest('octocat', 'Hello-World', 'New PR', 'feature-branch', 'master', 'PR description'); ", Node.js            
" const octokit = require('@octokit/rest')(); async function listPullRequests(owner, repo) { const { data } = await octokit.pulls.list({ owner, repo }); return data; }          ", GitHub API , listPullRequests      , List pull requests in a repository        ," listPullRequests('octocat', 'Hello-World');                                                         ", Node.js            
" const octokit = require('@octokit/rest')(); async function createCommentOnIssue(owner, repo, issueNumber, body) { const { data } = await octokit.issues.createComment({ owner, repo, issue_number: issueNumber, body }); return data; } ", GitHub API , createComment         , Create a comment on an issue              ," createCommentOnIssue('octocat', 'Hello-World', 123, 'This is a comment.');                           ", Node.js            
" const octokit = require('@octokit/rest')(); async function listCommentsOnIssue(owner, repo, issueNumber) { const { data } = await octokit.issues.listComments({ owner, repo, issue_number: issueNumber }); return data; } ", GitHub API , listComments          , List comments on an issue                  ," listCommentsOnIssue('octocat', 'Hello-World', 123);                                                 ", Node.js            
" const octokit = require('@octokit/rest')(); async function createCommitComment(owner, repo, sha, body) { const { data } = await octokit.repos.createCommitComment({ owner, repo, sha, body }); return data; } ", GitHub API , createCommitComment   , Create a comment on a commit              ," createCommitComment('octocat', 'Hello-World', 'abc123', 'This is a comment.');                       ", Node.js            
" const octokit = require('@octokit/rest')(); async function listCommentsOnCommit(owner, repo, sha) { const { data } = await octokit.repos.listCommitComments({ owner, repo, sha }); return data; } ", GitHub API , listCommitComments    , List comments on a commit                  ," listCommentsOnCommit('octocat', 'Hello",
" const octokit = require('@octokit/rest')(); async function createRelease(owner, repo, tag_name, target_commitish, name, body) { const { data } = await octokit.repos.createRelease({ owner, repo, tag_name, target_commitish, name, body }); return data; } ", GitHub API , createRelease         , Create a new release in a repository       ," createRelease('octocat', 'Hello-World', 'v1.0', 'master', 'First release', 'Release description.');  ", Node.js            
" const octokit = require('@octokit/rest')(); async function listReleases(owner, repo) { const { data } = await octokit.repos.listReleases({ owner, repo }); return data; }       ", GitHub API , listReleases          , List releases in a repository             ," listReleases('octocat', 'Hello-World');                                                              ", Node.js            
" const octokit = require('@octokit/rest')(); async function createTag(owner, repo, tag, sha, message, object, type) { const { data } = await octokit.git.createTag({ owner, repo, tag, message, object, type }); return data; } ", GitHub API , createTag             , Create a new tag in a repository          ," createTag('octocat', 'Hello-World', 'v1.0', 'abc123', 'Release v1.0', 'abc123', 'commit');          ", Node.js            
" const octokit = require('@octokit/rest')(); async function listTags(owner, repo) { const { data } = await octokit.repos.listTags({ owner, repo }); return data; }             ", GitHub API , listTags              , List tags in a repository                 ," listTags('octocat', 'Hello-World');                                                                  ", Node.js            
" const octokit = require('@octokit/rest')(); async function createBlob(owner, repo, content, encoding) { const { data } = await octokit.git.createBlob({ owner, repo, content, encoding }); return data; } ", GitHub API , createBlob            , Create a new blob in a repository         ," createBlob('octocat', 'Hello-World', 'Hello, World!', 'utf-8');                                      ", Node.js            
" const octokit = require('@octokit/rest')(); async function getBlob(owner, repo, file_sha) { const { data } = await octokit.git.getBlob({ owner, repo, file_sha }); return data; } ", GitHub API , getBlob               , Retrieve information about a blob         ," getBlob('octocat', 'Hello-World', 'abc123');                                                         ", Node.js            
" const octokit = require('@octokit/rest')(); async function createTree(owner, repo, tree) { const { data } = await octokit.git.createTree({ owner, repo, tree }); return data; } ", GitHub API , createTree            , Create a new tree in a repository         ," createTree('octocat', 'Hello-World', [{ path: 'file.txt', mode: '100644', type: 'blob', sha: 'abc123' }]); ", Node.js            
" const octokit = require('@octokit/rest')(); async function getTree(owner, repo, tree_sha) { const { data } = await octokit.git.getTree({ owner, repo, tree_sha }); return data; } ", GitHub API , getTree               , Retrieve information about a tree         ," getTree('octocat', 'Hello-World', 'abc123');                                                         ", Node.js            
" const octokit = require('@octokit/rest')(); async function createReference(owner, repo, ref, sha) { const { data } = await octokit.git.createRef({ owner, repo, ref, sha }); return data; } ", GitHub API , createReference       , Create a new reference in a repository    ," createReference('octocat', 'Hello-World', 'heads/master', 'abc123');                                  ", Node.js            
" const octokit = require('@octokit/rest')(); async function getReference(owner, repo, ref) { const { data } = await octokit.git.getRef({ owner, repo, ref }); return data; }   ", GitHub API , getReference          , Retrieve information about a reference    ," getReference('octocat', 'Hello-World', 'heads/master');                                              ", Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectLabels(imagePath) { const [result] = await client.labelDetection(imagePath); const labels = result.labelAnnotations; return labels.map(label => label.description);}  , Google Cloud Vision , detectLabels                  , Detect labels in an image                                                   , detectLabels('path/to/image.jpg');                                                                                                                                                                       , Node.js            
 const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectText(imagePath) { const [result] = await client.textDetection(imagePath); const detections = result.textAnnotations; return detections.map(text => text.description);}           , Google Cloud Vision , detectText                    , Detect text in an image                                                     , detectText('path/to/image.jpg');                                                                                                                                                                          , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectFaces(imagePath) { const [result] = await client.faceDetection(imagePath); const faces = result.faceAnnotations; return faces;}                                       , Google Cloud Vision , detectFaces                   , Detect faces in an image                                                    , detectFaces('path/to/image.jpg');                                                                                                                                                                         , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectLandmarks(imagePath) { const [result] = await client.landmarkDetection(imagePath); const landmarks = result.landmarkAnnotations; return landmarks;}                           , Google Cloud Vision , detectLandmarks               , Detect landmarks in an image                                                , detectLandmarks('path/to/image.jpg');                                                                                                                                                                     , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectLogos(imagePath) { const [result] = await client.logoDetection(imagePath); const logos = result.logoAnnotations; return logos;}                                         , Google Cloud Vision , detectLogos                   , Detect logos in an image                                                    , detectLogos('path/to/image.jpg');                                                                                                                                                                         , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectColors(imagePath) { const [result] = await client.imageProperties(imagePath); const colors = result.imagePropertiesAnnotation.dominantColors.colors; return colors;}                             , Google Cloud Vision , detectColors                  , Detect colors in an image                                                   , detectColors('path/to/image.jpg');                                                                                                                                                                        , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectSafeSearch(imagePath) { const [result] = await client.safeSearchDetection(imagePath); const safeSearch = result.safeSearchAnnotation; return safeSearch;}                               , Google Cloud Vision , detectSafeSearch              , Detect safe search properties in an image                                   , detectSafeSearch('path/to/image.jpg');                                                                                                                                                                    , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectProperties(imagePath) { const [result] = await client.imageProperties(imagePath); const properties = result.imagePropertiesAnnotation; return properties;}                        , Google Cloud Vision , detectProperties              , Detect properties of an image                                               , detectProperties('path/to/image.jpg');                                                                                                                                                                    , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectWebEntities(imagePath) { const [result] = await client.webDetection(imagePath); const webEntities = result.webDetection.webEntities; return webEntities;}                 , Google Cloud Vision , detectWebEntities             , Detect web entities in an image                                             , detectWebEntities('path/to/image.jpg');                                                                                                                                                                   , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectLocalizedObjects(imagePath) { const [result] = await client.objectLocalization(imagePath); const objects = result.localizedObjectAnnotations; return objects;}  , Google Cloud Vision , detectLocalizedObjects       , Detect localized objects in an image                                        , detectLocalizedObjects('path/to/image.jpg');                                                                                                                                                              , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectHandwriting(imagePath) { const [result] = await client.documentTextDetection(imagePath); const text = result.fullTextAnnotation; return text;}                               , Google Cloud Vision , detectHandwriting             , Detect handwriting in an image                                              , detectHandwriting('path/to/image.jpg');                                                                                                                                                                   , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectProductSearch(imagePath) { const [result] = await client.productSearch(imagePath); const products = result.productSearchResults.productGroupedResults; return products;}        , Google Cloud Vision , detectProductSearch          , Detect products in an image                                                  , detectProductSearch('path/to/image.jpg');                                                                                                                                                                 , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectImageProperties(imagePath) { const [result] = await client.imageProperties(imagePath); return result.imagePropertiesAnnotation;}                                            , Google Cloud Vision , detectImageProperties        , Detect properties of an image                                               , detectImageProperties('path/to/image.jpg');                                                                                                                                                               , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectCropHints(imagePath) { const [result] = await client.cropHints(imagePath); const cropHints = result.cropHintsAnnotation; return cropHints;}                                , Google Cloud Vision , detectCropHints               , Detect crop hints in an image                                                , detectCropHints('path/to/image.jpg');                                                                                                                                                                     , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectWebPages(imagePath) { const [result] = await client.webDetection(imagePath); const webPages = result.webDetection.webPages; return webPages;}                                 , Google Cloud Vision , detectWebPages                , Detect web pages in an image                                                 , detectWebPages('path/to/image.jpg');                                                                                                                                                                      , Node.js            
  const vision = require('@google-cloud/vision'); const client = new vision.ImageAnnotatorClient(); async function detectEntities(imagePath) { const [result] = await client.entityAnnotation(imagePath); const entities = result.entityAnnotations; return entities;}                      , Google Cloud Vision , detectEntities                , Detect entities in an image                                                  , detectEntities('path/to/image.jpg');, Node.js            
"  var firebaseConfig = { apiKey: ""YOUR_API_KEY"", authDomain: ""YOUR_AUTH_DOMAIN"", databaseURL: ""YOUR_DATABASE_URL"", projectId: ""YOUR_PROJECT_ID"", storageBucket: ""YOUR_STORAGE_BUCKET"", messagingSenderId: ""YOUR_MESSAGING_SENDER_ID"", appId: ""YOUR_APP_ID"" }; firebase.initializeApp(firebaseConfig);  ", Firebase    , initializeApp           , Initialize Firebase with configuration options         , initializeApp(firebaseConfig);                                                                          , JavaScript         
  var database = firebase.database();                                                                                                                                                                                                                                                             , Firebase    , database                , Get a reference to the Firebase Realtime Database       , var database = firebase.database();                                                                    , JavaScript         
  var storage = firebase.storage();                                                                                                                                                                                                                                                               , Firebase    , storage                 , Get a reference to the Firebase Storage                , var storage = firebase.storage();                                                                      , JavaScript         
  var auth = firebase.auth();                                                                                                                                                                                                                                                                     , Firebase    , auth                    , Get a reference to the Firebase Authentication service , var auth = firebase.auth();                                                                            , JavaScript         
  var messaging = firebase.messaging();                                                                                                                                                                                                                                                           , Firebase    , messaging               , Get a reference to the Firebase Cloud Messaging service , var messaging = firebase.messaging();                                                                  , JavaScript         
  var firestore = firebase.firestore();                                                                                                                                                                                                                                                           , Firebase    , firestore               , Get a reference to the Firestore Database             , var firestore = firebase.firestore();                                                                  , JavaScript         
  var functions = firebase.functions();                                                                                                                                                                                                                                                           , Firebase    , functions               , Get a reference to the Cloud Functions service         , var functions = firebase.functions();                                                                  , JavaScript         
  var analytics = firebase.analytics();                                                                                                                                                                                                                                                           , Firebase    , analytics               , Get a reference to the Firebase Analytics service      , var analytics = firebase.analytics();                                                                  , JavaScript         
  var performance = firebase.performance();                                                                                                                                                                                                                                                       , Firebase    , performance             , Get a reference to the Firebase Performance service    , var performance = firebase.performance();                                                              , JavaScript         
  var remoteConfig = firebase.remoteConfig();                                                                                                                                                                                                                                                     , Firebase    , remoteConfig            , Get a reference to the Remote Config service          , var remoteConfig = firebase.remoteConfig();                                                            , JavaScript         
"  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.once('value', function(snapshot) { console.log(snapshot.val()); });                                                                                                                                           ", Firebase    , once                    , Read data from the Realtime Database once              ,"  var ref = database.ref('path/to/data'); ref.once('value', function(snapshot) { console.log(snapshot.val()); });  ", JavaScript         
"  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.on('value', function(snapshot) { console.log(snapshot.val()); });                                                                                                                                             ", Firebase    , on                      , Listen for changes to data in the Realtime Database    ,"  var ref = database.ref('path/to/data'); ref.on('value', function(snapshot) { console.log(snapshot.val()); });    ", JavaScript         
  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.set(data);                                                                                                                                                                                                     , Firebase    , set                     , Write data to the Realtime Database                      , ref.set(data);                                                                                          , JavaScript         
  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.update(updates);                                                                                                                                                                                               , Firebase    , update                  , Update specific fields in the Realtime Database          , ref.update(updates);                                                                                    , JavaScript         
  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.remove();                                                                                                                                                                                                       , Firebase    , remove                  , Remove data from the Realtime Database                   , ref.remove();                                                                                           , JavaScript         
  var database = firebase.database(); var ref = database.ref('path/to/data'); ref.push(data);                                                                                                                                                                                                     , Firebase    , push                    , Add data to the Realtime Database                         , ref.push(data);                                                                                         , JavaScript         
  var storage = firebase.storage(); var storageRef = storage.ref(); var fileRef = storageRef.child('path/to/file'); fileRef.getDownloadURL().then(function(url) { console.log(url); }).catch(function(error) { console.error(error); });                                                                                                         , Firebase    , getDownloadURL          , Get the download URL for a file in Firebase Storage       ,  fileRef.getDownloadURL().then(function(url) { console.log(url); }).catch(function(error) { console.error(error); });   , JavaScript         
  var storage = firebase.storage(); var storageRef = storage.ref(); var fileRef = storageRef.child('path/to/file'); fileRef.put(file).then(function(snapshot) { console.log('Uploaded a file!'); }).catch(function(error) { console.error(error); });                                                                                                      , Firebase    , put                     , Upload a file to Firebase Storage                        ,  fileRef.put(file).then(function(snapshot) { console.log('Uploaded a file!'); }).catch(function(error) { console.error(error); });  , JavaScript         
"  var auth = firebase.auth(); var email = 'example@example.com'; var password = 'password'; auth.createUserWithEmailAndPassword(email, password).then(function(userCredential) { console.log('User created!', userCredential.user); }).catch(function(error) { console.error(error); });                                                                ", Firebase    , createUserWithEmailAndPassword , Create a user with email and password             ,"  auth.createUserWithEmailAndPassword(email, password).then(function(userCredential) { console.log('User created!', userCredential.user); }).catch(function(error) { console.error(error); });  ", JavaScript         
"  var auth = firebase.auth(); var email = 'example@example.com'; var password = 'password'; auth.signInWithEmailAndPassword(email, password).then(function(userCredential) { console.log('User signed in!', userCredential.user); }).catch(function(error) { console.error(error); });                                                                  ", Firebase    , signInWithEmailAndPassword    , Sign in a user with email and password           ,"  auth.signInWithEmailAndPassword(email, password).then(function(userCredential) { console.log('User signed in!', userCredential.user); }).catch(function(error) { console.error(error); });     ", JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); }                                                                                       ", Google Maps    , initMap                , Initialize the Google Map with specified options            ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var marker = new google.maps.Marker({ position: {lat: -34.397, lng: 150.644}, map: map, title: 'Marker' }); }                                        ", Google Maps    , addMarker              , Add a marker to the Google Map with specified position     ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var circle = new google.maps.Circle({ center: {lat: -34.397, lng: 150.644}, radius: 1000, map: map, fillColor: '#AA0000' }); }                            ", Google Maps    , addCircle              , Add a circle to the Google Map with specified position     ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var polyline = new google.maps.Polyline({ path: [{lat: -34.397, lng: 150.644}, {lat: -35.397, lng: 151.644}], geodesic: true, strokeColor: '#FF0000', strokeOpacity: 1.0, strokeWeight: 2, map: map }); }  ", Google Maps    , addPolyline            , Add a polyline to the Google Map with specified path       ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var polygon = new google.maps.Polygon({ paths: [{lat: -34.397, lng: 150.644}, {lat: -35.397, lng: 151.644}, {lat: -33.397, lng: 151.644}], strokeColor: '#FF0000', strokeOpacity: 0.8, strokeWeight: 2, fillColor: '#FF0000', fillOpacity: 0.35, map: map }); }      ", Google Maps    , addPolygon             , Add a polygon to the Google Map with specified paths       ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var rectangle = new google.maps.Rectangle({ bounds: {north: -33.425, south: -34.655, east: 151.425, west: 150.655}, strokeColor: '#FF0000', strokeOpacity: 0.8, strokeWeight: 2, fillColor: '#FF0000', fillOpacity: 0.35, map: map }); }        ", Google Maps    , addRectangle           , Add a rectangle to the Google Map with specified bounds    ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var infoWindow = new google.maps.InfoWindow({ content: 'Hello, World!' }); infoWindow.open(map, marker); }                                                           ", Google Maps    , openInfoWindow         , Open an info window on the Google Map at specified position ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var bounds = new google.maps.LatLngBounds(); bounds.extend({lat: -34.397, lng: 150.644}); bounds.extend({lat: -35.397, lng: 151.644}); map.fitBounds(bounds); }                                 ", Google Maps    , fitBounds              , Fit the map to contain all specified bounds                ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var geocoder = new google.maps.Geocoder(); geocoder.geocode({ 'address': 'Sydney, Australia' }, function(results, status) { if (status == 'OK') { map.setCenter(results[0].geometry.location); } }); }                          ", Google Maps    , geocode                 , Geocode an address and center the map on the result        ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var directionsService = new google.maps.DirectionsService(); var directionsRenderer = new google.maps.DirectionsRenderer(); directionsRenderer.setMap(map); directionsService.route({ origin: 'Sydney, Australia', destination: 'Melbourne, Australia', travelMode: 'DRIVING' }, function(response, status) { if (status == 'OK') { directionsRenderer.setDirections(response); } }); }  ", Google Maps    , directions              , Display directions between two locations on the map       ,  initMap();                                                                                    , JavaScript         
"  var map; function initMap() { map = new google.maps.Map(document.getElementById('map'), { center: {lat: -34.397, lng: 150.644}, zoom: 8 }); var placesService = new google.maps.places.PlacesService(map); placesService.textSearch({ query: 'restaurants in Sydney' }, function(results, status) { if (status == google.maps.places.PlacesServiceStatus.OK) { for (var i = 0; i < results.length; i++) { var place = results[i]; var marker = new google.maps.Marker({ position: place.geometry.location, map: map, title: place.name }); } } }); }  ", Google Maps    , textSearch              , Perform a text search for places and,  initMap();                                                                                    , JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.nearbySearch({ location: { lat: 40.7128, lng: -74.0060 }, radius: 1000, type: 'restaurant' }, function(results, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { results.forEach(function(place) { console.log(place.name); }); } });  ", Google Places API , nearbySearch         , Search for nearby places                                                ,"  nearbySearch({ location: { lat: 40.7128, lng: -74.0060 }, radius: 1000, type: 'restaurant' }, callback);                    ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.textSearch({ query: 'restaurants in New York' }, function(results, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { results.forEach(function(place) { console.log(place.name); }); } });                            ", Google Places API , textSearch           , Search for places based on a text query                                ,"  textSearch({ query: 'restaurants in New York' }, callback);                                                                 ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.getDetails({ placeId: 'ChIJN1t_tDeuEmsRUsoyG83frY4' }, function(place, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { console.log(place.name); } });                                                             ", Google Places API , getDetails           , Get details of a place by place ID                                      ,"  getDetails({ placeId: 'ChIJN1t_tDeuEmsRUsoyG83frY4' }, callback);                                                        ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.photo({ photoreference: 'CnRtAAAAN2lIvW48JtLWROlS3G5u3YjTTyP5OqGT5a_2Dea4O_1_0gQf9pjUR9GYyDkMtY4G9UfMEfypjxgTo8Rc75psCm10KRucmWOf91dDv6k0SKXZcLe3at1mmuBmHdGBqHUWoS8qKJHoS9ChUInNQjw', maxWidth: 1000 }, function(photoResult, photoStatus) { if (photoStatus === google.maps.places.PlacesServiceStatus.OK) { console.log(photoResult); } });  ", Google Places API , photo                , Get a photo of a place                                                   ,"  photo({ photoreference: 'YOUR_PHOTO_REFERENCE', maxWidth: 1000 }, callback);                                                 ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.findPlaceFromQuery({ query: 'Eiffel Tower' }, function(results, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { results.forEach(function(place) { console.log(place.name); }); } });                                   ", Google Places API , findPlaceFromQuery   , Find places based on a query                                             ,"  findPlaceFromQuery({ query: 'Eiffel Tower' }, callback);                                                                    ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.findPlaceFromPhoneNumber({ phoneNumber: '+16502530000' }, function(results, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { results.forEach(function(place) { console.log(place.name); }); } });                         ", Google Places API , findPlaceFromPhoneNumber , Find places based on a phone number                                 ,"  findPlaceFromPhoneNumber({ phoneNumber: '+16502530000' }, callback);                                                  ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.getQueryPredictions({ input: 'pizza near New York' }, function(predictions, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { predictions.forEach(function(prediction) { console.log(prediction.description); }); } });             ", Google Places API , getQueryPredictions  , Get query predictions                                                    ,"  getQueryPredictions({ input: 'pizza near New York' }, callback);                                                            ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.getPlacePredictions({ input: 'pizza near New York' }, function(predictions, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { predictions.forEach(function(prediction) { console.log(prediction.description); }); } });             ", Google Places API , getPlacePredictions  , Get place predictions                                                    ,"  getPlacePredictions({ input: 'pizza near New York' }, callback);                                                            ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.autocomplete({ input: 'pizza near New York' }, function(predictions, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { predictions.forEach(function(prediction) { console.log(prediction.description); }); } });                      ", Google Places API , autocomplete          , Perform autocomplete on a query                                          ,"  autocomplete({ input: 'pizza near New York' }, callback);                                                                   ", JavaScript         
"  var placesService = new google.maps.places.PlacesService(map); placesService.getPlaceById({ placeId: 'ChIJN1t_tDeuEmsRUsoyG83frY4' }, function(results, status) { if (status === google.maps.places.PlacesServiceStatus.OK) { console.log(results[0].name); } });                                                         ", Google Places API , getPlaceById          , Get place details by place ID                                             ,"  getPlaceById({ placeId: 'ChIJN1t_tDeuEmsRUsoyG83frY4' }, callback);                                                        ", JavaScript         
  GET /me/drive/root/children                                                                                                                                                                                                                             , Microsoft Graph API , Get Drive Items     , Retrieve a list of items in the root of the user's OneDrive. ,  GET /me/drive/root/children                                                                         , HTTP               
"  GET /me/messages?$search=""meeting""                                                                                                                                                                                                                     ", Microsoft Graph API , Search Messages     ," Search for messages containing the term ""meeting"".            ","  GET /me/messages?$search=""meeting""                                                                  ", HTTP               
  POST /me/sendMail                                                                                                                                                                                                                                      , Microsoft Graph API , Send Mail           , Send an email from the signed-in user's mailbox.             ,  POST /me/sendMail                                                                                   , HTTP               
  GET /me/calendarView?$filter=startDateTime ge 2022-06-01T00:00:00Z and endDateTime le 2022-06-30T23:59:59Z                                                                                                                                            , Microsoft Graph API , Get Calendar View   , Retrieve the user's calendar events within a specified date range. ,  GET /me/calendarView?$filter=startDateTime ge 2022-06-01T00:00:00Z and endDateTime le 2022-06-30T23:59:59Z  , HTTP               
  POST /me/drive/items/{item-id}/copy                                                                                                                                                                                                                   , Microsoft Graph API , Copy Drive Item     , Copy a file or folder within the user's OneDrive.            ,  POST /me/drive/items/{item-id}/copy                                                                 , HTTP               
  PATCH /me/drive/items/{item-id}                                                                                                                                                                                                                        , Microsoft Graph API , Update Drive Item   , Update properties of a file or folder in OneDrive.           ,  PATCH /me/drive/items/{item-id}                                                                      , HTTP               
  DELETE /me/drive/items/{item-id}                                                                                                                                                                                                                       , Microsoft Graph API , Delete Drive Item   , Delete a file or folder from the user's OneDrive.            ,  DELETE /me/drive/items/{item-id}                                                                     , HTTP               
  GET /me/contacts                                                                                                                                                                                                                                       , Microsoft Graph API , Get Contacts        , Retrieve the user's contacts.                                ,  GET /me/contacts                                                                                    , HTTP               
  GET /me/events                                                                                                                                                                                                                                         , Microsoft Graph API , Get Events          , Retrieve the user's calendar events.                         ,  GET /me/events                                                                                      , HTTP               
  POST /me/events                                                                                                                                                                                                                                        , Microsoft Graph API , Create Event        , Create a new event in the user's calendar.                   ,  POST /me/events                                                                                     , HTTP               
  GET /me/people                                                                                                                                                                                                                                 , Microsoft Graph API , Get People           , Retrieve a list of people that the signed-in user interacts with most frequently.                                                     ,  GET /me/people                                                                                                                                                  , HTTP               
  GET /me/drive/recent                                                                                                                                                                                                                           , Microsoft Graph API , Get Recent Items     , Retrieve a list of recently accessed items in the user's OneDrive.                                                                   ,  GET /me/drive/recent                                                                                                                                           , HTTP               
  GET /me/drive/root/search(q='finance')                                                                                                                                                                                                         , Microsoft Graph API , Search Drive         ," Search for files and folders in the user's OneDrive with the keyword ""finance"".                                                      ",  GET /me/drive/root/search(q='finance')                                                                                                                         , HTTP               
  POST /me/drive/root/children                                                                                                                                                                                                                   , Microsoft Graph API , Upload File          , Upload a file to the root of the user's OneDrive.                                                                                     ,  POST /me/drive/root/children                                                                                                                                   , HTTP               
